"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POVERTY","0_17","RT","A","2014",0.13,
"AUS","POVERTY","TOT","RT","A","2014",0.128,
"AUT","POVERTY","0_17","RT","A","2013",0.104,
"AUT","POVERTY","0_17","RT","A","2014",0.106,
"AUT","POVERTY","0_17","RT","A","2015",0.096,
"AUT","POVERTY","TOT","RT","A","2013",0.09,
"AUT","POVERTY","TOT","RT","A","2014",0.09,
"AUT","POVERTY","TOT","RT","A","2015",0.087,
"BEL","POVERTY","0_17","RT","A","2013",0.125,
"BEL","POVERTY","0_17","RT","A","2014",0.109,
"BEL","POVERTY","0_17","RT","A","2015",0.11,
"BEL","POVERTY","TOT","RT","A","2013",0.098,
"BEL","POVERTY","TOT","RT","A","2014",0.091,
"BEL","POVERTY","TOT","RT","A","2015",0.098,
"CAN","POVERTY","0_17","RT","A","2013",0.171,
"CAN","POVERTY","0_17","RT","A","2014",0.15,
"CAN","POVERTY","0_17","RT","A","2015",0.171,
"CAN","POVERTY","TOT","RT","A","2013",0.133,
"CAN","POVERTY","TOT","RT","A","2014",0.126,
"CAN","POVERTY","TOT","RT","A","2015",0.142,
"CZE","POVERTY","0_17","RT","A","2013",0.101,
"CZE","POVERTY","0_17","RT","A","2014",0.103,
"CZE","POVERTY","0_17","RT","A","2015",0.105,
"CZE","POVERTY","TOT","RT","A","2013",0.059,
"CZE","POVERTY","TOT","RT","A","2014",0.059,
"CZE","POVERTY","TOT","RT","A","2015",0.064,
"DNK","POVERTY","0_17","RT","A","2013",0.027,
"DNK","POVERTY","0_17","RT","A","2014",0.029,
"DNK","POVERTY","0_17","RT","A","2015",0.029,
"DNK","POVERTY","TOT","RT","A","2013",0.054,
"DNK","POVERTY","TOT","RT","A","2014",0.055,
"DNK","POVERTY","TOT","RT","A","2015",0.055,
"FIN","POVERTY","0_17","RT","A","2013",0.046,
"FIN","POVERTY","0_17","RT","A","2014",0.036,
"FIN","POVERTY","0_17","RT","A","2015",0.037,
"FIN","POVERTY","0_17","RT","A","2016",0.033,
"FIN","POVERTY","TOT","RT","A","2013",0.071,
"FIN","POVERTY","TOT","RT","A","2014",0.068,
"FIN","POVERTY","TOT","RT","A","2015",0.063,
"FIN","POVERTY","TOT","RT","A","2016",0.058,
"FRA","POVERTY","0_17","RT","A","2013",0.114,
"FRA","POVERTY","0_17","RT","A","2014",0.115,
"FRA","POVERTY","0_17","RT","A","2015",0.113,
"FRA","POVERTY","TOT","RT","A","2013",0.079,
"FRA","POVERTY","TOT","RT","A","2014",0.081,
"FRA","POVERTY","TOT","RT","A","2015",0.081,
"DEU","POVERTY","0_17","RT","A","2013",0.098,
"DEU","POVERTY","0_17","RT","A","2014",0.095,
"DEU","POVERTY","0_17","RT","A","2015",0.112,
"DEU","POVERTY","TOT","RT","A","2013",0.091,
"DEU","POVERTY","TOT","RT","A","2014",0.095,
"DEU","POVERTY","TOT","RT","A","2015",0.101,
"GRC","POVERTY","0_17","RT","A","2013",0.188,
"GRC","POVERTY","0_17","RT","A","2014",0.191,
"GRC","POVERTY","0_17","RT","A","2015",0.189,
"GRC","POVERTY","TOT","RT","A","2013",0.151,
"GRC","POVERTY","TOT","RT","A","2014",0.148,
"GRC","POVERTY","TOT","RT","A","2015",0.149,
"HUN","POVERTY","0_17","RT","A","2014",0.118,
"HUN","POVERTY","TOT","RT","A","2014",0.101,
"ISL","POVERTY","0_17","RT","A","2013",0.054,
"ISL","POVERTY","0_17","RT","A","2014",0.072,
"ISL","POVERTY","TOT","RT","A","2013",0.045,
"ISL","POVERTY","TOT","RT","A","2014",0.065,
"IRL","POVERTY","0_17","RT","A","2013",0.093,
"IRL","POVERTY","0_17","RT","A","2014",0.092,
"IRL","POVERTY","0_17","RT","A","2015",0.108,
"IRL","POVERTY","TOT","RT","A","2013",0.088,
"IRL","POVERTY","TOT","RT","A","2014",0.092,
"IRL","POVERTY","TOT","RT","A","2015",0.098,
"ITA","POVERTY","0_17","RT","A","2013",0.177,
"ITA","POVERTY","0_17","RT","A","2014",0.193,
"ITA","POVERTY","0_17","RT","A","2015",0.183,
"ITA","POVERTY","TOT","RT","A","2013",0.133,
"ITA","POVERTY","TOT","RT","A","2014",0.137,
"ITA","POVERTY","TOT","RT","A","2015",0.144,
"KOR","POVERTY","TOT","RT","A","2013",0.146,
"KOR","POVERTY","TOT","RT","A","2014",0.144,
"KOR","POVERTY","TOT","RT","A","2015",0.138,
"LUX","POVERTY","0_17","RT","A","2015",0.137,
"LUX","POVERTY","TOT","RT","A","2015",0.109,
"MEX","POVERTY","0_17","RT","A","2014",0.197,
"MEX","POVERTY","TOT","RT","A","2014",0.167,
"NLD","POVERTY","0_17","RT","A","2013",0.105,
"NLD","POVERTY","0_17","RT","A","2014",0.107,
"NLD","POVERTY","0_17","RT","A","2015",0.104,
"NLD","POVERTY","0_17","RT","A","2016",0.109,"P"
"NLD","POVERTY","TOT","RT","A","2013",0.079,
"NLD","POVERTY","TOT","RT","A","2014",0.078,
"NLD","POVERTY","TOT","RT","A","2015",0.078,
"NLD","POVERTY","TOT","RT","A","2016",0.083,"P"
"NZL","POVERTY","0_17","RT","A","2014",0.141,
"NZL","POVERTY","TOT","RT","A","2014",0.109,
"NOR","POVERTY","0_17","RT","A","2013",0.068,
"NOR","POVERTY","0_17","RT","A","2014",0.072,
"NOR","POVERTY","0_17","RT","A","2015",0.073,
"NOR","POVERTY","TOT","RT","A","2013",0.078,
"NOR","POVERTY","TOT","RT","A","2014",0.081,
"NOR","POVERTY","TOT","RT","A","2015",0.081,
"POL","POVERTY","0_17","RT","A","2013",0.134,
"POL","POVERTY","0_17","RT","A","2014",0.128,
"POL","POVERTY","0_17","RT","A","2015",0.134,
"POL","POVERTY","TOT","RT","A","2013",0.105,
"POL","POVERTY","TOT","RT","A","2014",0.104,
"POL","POVERTY","TOT","RT","A","2015",0.111,
"PRT","POVERTY","0_17","RT","A","2013",0.183,
"PRT","POVERTY","0_17","RT","A","2014",0.183,
"PRT","POVERTY","0_17","RT","A","2015",0.155,
"PRT","POVERTY","TOT","RT","A","2013",0.135,
"PRT","POVERTY","TOT","RT","A","2014",0.135,
"PRT","POVERTY","TOT","RT","A","2015",0.126,
"SVK","POVERTY","0_17","RT","A","2013",0.135,
"SVK","POVERTY","0_17","RT","A","2014",0.145,
"SVK","POVERTY","0_17","RT","A","2015",0.148,
"SVK","POVERTY","TOT","RT","A","2013",0.083,
"SVK","POVERTY","TOT","RT","A","2014",0.087,
"SVK","POVERTY","TOT","RT","A","2015",0.084,
"ESP","POVERTY","0_17","RT","A","2013",0.235,
"ESP","POVERTY","0_17","RT","A","2014",0.227,
"ESP","POVERTY","0_17","RT","A","2015",0.221,
"ESP","POVERTY","TOT","RT","A","2013",0.159,
"ESP","POVERTY","TOT","RT","A","2014",0.153,
"ESP","POVERTY","TOT","RT","A","2015",0.153,
"SWE","POVERTY","0_17","RT","A","2013",0.09,
"SWE","POVERTY","0_17","RT","A","2014",0.092,
"SWE","POVERTY","0_17","RT","A","2015",0.091,
"SWE","POVERTY","0_17","RT","A","2016",0.089,
"SWE","POVERTY","TOT","RT","A","2013",0.086,
"SWE","POVERTY","TOT","RT","A","2014",0.09,
"SWE","POVERTY","TOT","RT","A","2015",0.092,
"SWE","POVERTY","TOT","RT","A","2016",0.091,
"CHE","POVERTY","0_17","RT","A","2013",0.071,
"CHE","POVERTY","0_17","RT","A","2014",0.099,
"CHE","POVERTY","0_17","RT","A","2015",0.095,
"CHE","POVERTY","TOT","RT","A","2013",0.086,
"CHE","POVERTY","TOT","RT","A","2014",0.099,
"CHE","POVERTY","TOT","RT","A","2015",0.091,
"TUR","POVERTY","0_17","RT","A","2013",0.252,
"TUR","POVERTY","0_17","RT","A","2014",0.253,
"TUR","POVERTY","0_17","RT","A","2015",0.253,
"TUR","POVERTY","TOT","RT","A","2013",0.171,
"TUR","POVERTY","TOT","RT","A","2014",0.173,
"TUR","POVERTY","TOT","RT","A","2015",0.172,
"GBR","POVERTY","0_17","RT","A","2013",0.099,
"GBR","POVERTY","0_17","RT","A","2014",0.11,
"GBR","POVERTY","0_17","RT","A","2015",0.112,
"GBR","POVERTY","0_17","RT","A","2016",0.118,
"GBR","POVERTY","TOT","RT","A","2013",0.104,
"GBR","POVERTY","TOT","RT","A","2014",0.105,
"GBR","POVERTY","TOT","RT","A","2015",0.109,
"GBR","POVERTY","TOT","RT","A","2016",0.111,
"USA","POVERTY","0_17","RT","A","2013",0.205,
"USA","POVERTY","0_17","RT","A","2014",0.202,
"USA","POVERTY","0_17","RT","A","2015",0.199,
"USA","POVERTY","0_17","RT","A","2016",0.209,
"USA","POVERTY","TOT","RT","A","2013",0.172,
"USA","POVERTY","TOT","RT","A","2014",0.175,
"USA","POVERTY","TOT","RT","A","2015",0.168,
"USA","POVERTY","TOT","RT","A","2016",0.178,
"EST","POVERTY","0_17","RT","A","2013",0.139,
"EST","POVERTY","0_17","RT","A","2014",0.147,
"EST","POVERTY","0_17","RT","A","2015",0.121,
"EST","POVERTY","TOT","RT","A","2013",0.155,
"EST","POVERTY","TOT","RT","A","2014",0.155,
"EST","POVERTY","TOT","RT","A","2015",0.161,
"ISR","POVERTY","0_17","RT","A","2013",0.243,
"ISR","POVERTY","0_17","RT","A","2014",0.243,
"ISR","POVERTY","0_17","RT","A","2015",0.255,
"ISR","POVERTY","0_17","RT","A","2016",0.232,
"ISR","POVERTY","TOT","RT","A","2013",0.186,
"ISR","POVERTY","TOT","RT","A","2014",0.186,
"ISR","POVERTY","TOT","RT","A","2015",0.195,
"ISR","POVERTY","TOT","RT","A","2016",0.177,
"SVN","POVERTY","0_17","RT","A","2013",0.098,
"SVN","POVERTY","0_17","RT","A","2014",0.09,
"SVN","POVERTY","0_17","RT","A","2015",0.07,
"SVN","POVERTY","TOT","RT","A","2013",0.095,
"SVN","POVERTY","TOT","RT","A","2014",0.094,
"SVN","POVERTY","TOT","RT","A","2015",0.092,
"KOR","POVERTY","0_17","RT","A","2013",0.08,
"KOR","POVERTY","0_17","RT","A","2014",0.071,
"KOR","POVERTY","0_17","RT","A","2015",0.071,
"CHL","POVERTY","0_17","RT","A","2013",0.225,
"CHL","POVERTY","0_17","RT","A","2015",0.211,
"CHL","POVERTY","TOT","RT","A","2013",0.168,
"CHL","POVERTY","TOT","RT","A","2015",0.161,
"LVA","POVERTY","0_17","RT","A","2013",0.153,
"LVA","POVERTY","0_17","RT","A","2014",0.157,
"LVA","POVERTY","0_17","RT","A","2015",0.122,
"LVA","POVERTY","0_17","RT","A","2016",0.13,"P"
"LVA","POVERTY","TOT","RT","A","2013",0.14,
"LVA","POVERTY","TOT","RT","A","2014",0.162,
"LVA","POVERTY","TOT","RT","A","2015",0.162,
"LVA","POVERTY","TOT","RT","A","2016",0.167,"P"
"LTU","POVERTY","0_17","RT","A","2013",0.139,
"LTU","POVERTY","0_17","RT","A","2014",0.205,
"LTU","POVERTY","0_17","RT","A","2015",0.191,
"LTU","POVERTY","TOT","RT","A","2013",0.124,
"LTU","POVERTY","TOT","RT","A","2014",0.157,
"LTU","POVERTY","TOT","RT","A","2015",0.165,
"AUS","POVERTY","66MORE","RT","A","2014",0.257,
"AUT","POVERTY","66MORE","RT","A","2013",0.097,
"AUT","POVERTY","66MORE","RT","A","2014",0.088,
"AUT","POVERTY","66MORE","RT","A","2015",0.078,
"BEL","POVERTY","66MORE","RT","A","2013",0.085,
"BEL","POVERTY","66MORE","RT","A","2014",0.077,
"BEL","POVERTY","66MORE","RT","A","2015",0.095,
"CAN","POVERTY","66MORE","RT","A","2013",0.085,
"CAN","POVERTY","66MORE","RT","A","2014",0.09,
"CAN","POVERTY","66MORE","RT","A","2015",0.107,
"CZE","POVERTY","66MORE","RT","A","2013",0.026,
"CZE","POVERTY","66MORE","RT","A","2014",0.037,
"CZE","POVERTY","66MORE","RT","A","2015",0.042,
"DNK","POVERTY","66MORE","RT","A","2013",0.038,
"DNK","POVERTY","66MORE","RT","A","2014",0.032,
"DNK","POVERTY","66MORE","RT","A","2015",0.031,
"FIN","POVERTY","66MORE","RT","A","2013",0.078,
"FIN","POVERTY","66MORE","RT","A","2014",0.066,
"FIN","POVERTY","66MORE","RT","A","2015",0.052,
"FIN","POVERTY","66MORE","RT","A","2016",0.05,
"FRA","POVERTY","66MORE","RT","A","2013",0.035,
"FRA","POVERTY","66MORE","RT","A","2014",0.033,
"FRA","POVERTY","66MORE","RT","A","2015",0.031,
"DEU","POVERTY","66MORE","RT","A","2013",0.084,
"DEU","POVERTY","66MORE","RT","A","2014",0.095,
"DEU","POVERTY","66MORE","RT","A","2015",0.096,
"GRC","POVERTY","66MORE","RT","A","2013",0.082,
"GRC","POVERTY","66MORE","RT","A","2014",0.082,
"GRC","POVERTY","66MORE","RT","A","2015",0.077,
"HUN","POVERTY","66MORE","RT","A","2014",0.086,
"ISL","POVERTY","66MORE","RT","A","2013",0.029,
"ISL","POVERTY","66MORE","RT","A","2014",0.054,
"IRL","POVERTY","66MORE","RT","A","2013",0.068,
"IRL","POVERTY","66MORE","RT","A","2014",0.068,
"IRL","POVERTY","66MORE","RT","A","2015",0.064,
"ITA","POVERTY","66MORE","RT","A","2013",0.092,
"ITA","POVERTY","66MORE","RT","A","2014",0.093,
"ITA","POVERTY","66MORE","RT","A","2015",0.102,
"KOR","POVERTY","66MORE","RT","A","2013",0.496,
"KOR","POVERTY","66MORE","RT","A","2014",0.488,
"KOR","POVERTY","66MORE","RT","A","2015",0.457,
"LUX","POVERTY","66MORE","RT","A","2015",0.06,
"MEX","POVERTY","66MORE","RT","A","2014",0.256,
"NLD","POVERTY","66MORE","RT","A","2013",0.025,
"NLD","POVERTY","66MORE","RT","A","2014",0.023,
"NLD","POVERTY","66MORE","RT","A","2015",0.027,
"NLD","POVERTY","66MORE","RT","A","2016",0.031,"P"
"NZL","POVERTY","66MORE","RT","A","2014",0.106,
"NOR","POVERTY","66MORE","RT","A","2013",0.043,
"NOR","POVERTY","66MORE","RT","A","2014",0.043,
"NOR","POVERTY","66MORE","RT","A","2015",0.044,
"POL","POVERTY","66MORE","RT","A","2013",0.074,
"POL","POVERTY","66MORE","RT","A","2014",0.076,
"POL","POVERTY","66MORE","RT","A","2015",0.085,
"PRT","POVERTY","66MORE","RT","A","2013",0.097,
"PRT","POVERTY","66MORE","RT","A","2014",0.097,
"PRT","POVERTY","66MORE","RT","A","2015",0.108,
"SVK","POVERTY","66MORE","RT","A","2013",0.036,
"SVK","POVERTY","66MORE","RT","A","2014",0.038,
"SVK","POVERTY","66MORE","RT","A","2015",0.034,
"ESP","POVERTY","66MORE","RT","A","2013",0.053,
"ESP","POVERTY","66MORE","RT","A","2014",0.054,
"ESP","POVERTY","66MORE","RT","A","2015",0.059,
"SWE","POVERTY","66MORE","RT","A","2013",0.089,
"SWE","POVERTY","66MORE","RT","A","2014",0.1,
"SWE","POVERTY","66MORE","RT","A","2015",0.114,
"SWE","POVERTY","66MORE","RT","A","2016",0.11,
"CHE","POVERTY","66MORE","RT","A","2013",0.197,
"CHE","POVERTY","66MORE","RT","A","2014",0.194,
"CHE","POVERTY","66MORE","RT","A","2015",0.195,
"TUR","POVERTY","66MORE","RT","A","2013",0.188,
"TUR","POVERTY","66MORE","RT","A","2014",0.189,
"TUR","POVERTY","66MORE","RT","A","2015",0.17,
"GBR","POVERTY","66MORE","RT","A","2013",0.135,
"GBR","POVERTY","66MORE","RT","A","2014",0.131,
"GBR","POVERTY","66MORE","RT","A","2015",0.138,
"GBR","POVERTY","66MORE","RT","A","2016",0.142,
"USA","POVERTY","66MORE","RT","A","2013",0.206,
"USA","POVERTY","66MORE","RT","A","2014",0.21,
"USA","POVERTY","66MORE","RT","A","2015",0.209,
"USA","POVERTY","66MORE","RT","A","2016",0.229,
"CHL","POVERTY","66MORE","RT","A","2013",0.15,
"CHL","POVERTY","66MORE","RT","A","2015",0.163,
"EST","POVERTY","66MORE","RT","A","2013",0.208,
"EST","POVERTY","66MORE","RT","A","2014",0.25,
"EST","POVERTY","66MORE","RT","A","2015",0.319,
"ISR","POVERTY","66MORE","RT","A","2013",0.241,
"ISR","POVERTY","66MORE","RT","A","2014",0.226,
"ISR","POVERTY","66MORE","RT","A","2015",0.212,
"ISR","POVERTY","66MORE","RT","A","2016",0.194,
"LVA","POVERTY","66MORE","RT","A","2013",0.193,
"LVA","POVERTY","66MORE","RT","A","2014",0.265,
"LVA","POVERTY","66MORE","RT","A","2015",0.309,
"LVA","POVERTY","66MORE","RT","A","2016",0.33,"P"
"LTU","POVERTY","66MORE","RT","A","2013",0.131,
"LTU","POVERTY","66MORE","RT","A","2014",0.172,
"LTU","POVERTY","66MORE","RT","A","2015",0.204,
"SVN","POVERTY","66MORE","RT","A","2013",0.121,
"SVN","POVERTY","66MORE","RT","A","2014",0.131,
"SVN","POVERTY","66MORE","RT","A","2015",0.135,
"BRA","POVERTY","0_17","RT","A","2013",0.301,
"BRA","POVERTY","TOT","RT","A","2013",0.2,
"BRA","POVERTY","66MORE","RT","A","2013",0.077,
"CRI","POVERTY","0_17","RT","A","2013",0.284,
"CRI","POVERTY","0_17","RT","A","2014",0.294,
"CRI","POVERTY","0_17","RT","A","2015",0.275,
"CRI","POVERTY","0_17","RT","A","2016",0.275,
"CRI","POVERTY","0_17","RT","A","2017",0.273,
"CRI","POVERTY","66MORE","RT","A","2013",0.243,
"CRI","POVERTY","66MORE","RT","A","2014",0.261,
"CRI","POVERTY","66MORE","RT","A","2015",0.251,
"CRI","POVERTY","66MORE","RT","A","2016",0.259,
"CRI","POVERTY","66MORE","RT","A","2017",0.255,
"ZAF","POVERTY","TOT","RT","A","2015",0.266,"P"
"ZAF","POVERTY","66MORE","RT","A","2015",0.207,"P"
"CRI","POVERTY","TOT","RT","A","2013",0.21,
"CRI","POVERTY","TOT","RT","A","2014",0.215,
"CRI","POVERTY","TOT","RT","A","2015",0.206,
"CRI","POVERTY","TOT","RT","A","2016",0.209,
"CRI","POVERTY","TOT","RT","A","2017",0.204,
"ZAF","POVERTY","0_17","RT","A","2015",0.32,"P"
